,A(H3N2)_0-14
132,0.0
133,0.0
134,651.0
135,378.0
136,0.0
137,0.0
138,0.0
139,0.0
140,224.0
141,0.0
142,0.0
143,154.0
144,172.0
145,0.0
146,217.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
