,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.
0,3.472231993644105,1.6322946468307353,2.4320473941189977,1.8586321065172222,1.3323594946967974,1.3169910977012893
1,7.353014746151985,0.4390750906250653,2.036551437205872,1.411540147672331,0.16861796311379976,0.20402531733522575
2,13.80426658643508,0.13270364715496816,1.594616861349126,1.9760318904035068,0.04027142211284236,0.10691506647536547
3,25.091178242775502,0.03811244393398953,1.2277406796254766,3.295020947724877,0.010494097424783314,0.07609199046406967
4,45.17694752763189,0.010728098677770716,0.9420862793036199,5.79768898739771,0.0028399867849495204,0.05764182676054504
5,81.10476273379298,0.0029957918648499753,0.7223354378539412,10.349751069758293,0.0007807502830509817,0.044112333786909846
6,145.39528441094586,0.0008338953787512164,0.5536171601378503,18.539343456214063,0.0002159997818156039,0.03380717520994764
7,260.23414425684683,0.0002318013995706129,0.4240654858478358,33.2166501647372,5.990566579774149e-05,0.025907336334490154
8,464.57476733895635,6.438695746528311e-05,0.32450842779437383,59.44591539661278,1.6629104768009074e-05,0.019842307757826666
9,825.6047891582388,1.7872941706315816e-05,0.2478869826677825,106.1279748050647,4.616921494644935e-06,0.01518086861073294
10,1455.4154915930278,4.956846367816292e-06,0.18876599178348186,188.62886536136995,1.2815745807832247e-06,0.011592278500418938
11,2529.4719962822355,1.3727041637429349e-06,0.14295705602592693,332.62843284090604,3.555314075231981e-07,0.008822001277220734
12,4288.874097160232,3.791966355102288e-07,0.10723868816672961,578.5051329078126,9.851992202918729e-08,0.006673964529298465
13,6973.5108162637225,1.043137802156223e-07,0.07916356313940534,982.5196567207759,2.7246742922938762e-08,0.004997614939958017
14,10590.397331125196,2.8505821772119206e-08,0.05694641881484503,1604.064268666383,7.510477130689245e-09,0.003679182281676935
15,14494.416662776131,7.713923171340935e-09,0.039407038536399,2460.623687768524,2.0593286482209365e-09,0.0026366705848616242
16,17191.537051108808,2.060902338031959e-09,0.02588372549964566,3447.7229450388168,5.602562350234519e-10,0.0018167979836450248
17,17191.544825940666,5.428097121733234e-10,0.01599865851739634,4295.838991031196,1.508424990317902e-10,0.001189353157800821
18,14523.81314194581,1.411035537277973e-10,0.009314103368621398,4692.669943814901,4.012232507424809e-11,0.0007346757243369405
19,10748.794838504213,3.6315110260450287e-11,0.005157828980898664,4519.98599787952,1.0542192639918624e-11,0.0004288649673715524
20,7356.103724884437,9.285080258716176e-12,0.002753059319061136,3924.911343932567,2.7403054308295597e-12,0.00023864076902110302
21,4883.422665423364,2.3645333337142174e-12,0.0014330556782947957,3159.2853685786395,7.062877723173925e-13,0.00012804073415140354
22,3236.05484328395,6.00678486667858e-13,0.000733618312010679,2415.9459239598846,1.8091484570385503e-13,6.694439393166953e-05
23,2164.460933572452,1.5235480636767654e-13,0.00037141874493634345,1787.1169082725014,4.6141473176386086e-14,3.4384967284820426e-05
24,1463.3000877314105,3.86018894094922e-14,0.00018664816000902825,1294.1570080028962,1.173361510077692e-14,1.7449892927410945e-05
25,997.879138331418,9.773229624168469e-15,9.332285672925581e-05,924.4680767850258,2.977902467547202e-15,8.783532842715084e-06
26,684.7138928094931,2.4730824454086074e-15,4.649966580902343e-05,654.5470341690805,7.547582393641914e-16,4.396714504096584e-06
27,471.81485919301934,6.255702957322801e-16,2.311415197265694e-05,460.7281645977371,1.9112253781963754e-16,2.192458949998173e-06
28,326.0363231859169,1.5819689244374155e-16,1.1470768012392378e-05,323.03241329463674,4.836692564933457e-17,1.0904243715620783e-06
29,225.73035481630103,3.999797066480853e-17,5.686084030751399e-06,225.88948281955584,1.2234953885208507e-17,5.41344119705751e-07
30,156.4861603738494,1.0111610355384217e-17,2.8163841779674628e-06,157.6742646601386,3.0940749802813103e-18,2.68415401014705e-07
31,108.57881069244097,2.5560080730064275e-18,1.3942259974657075e-06,109.92263222246063,7.822994773099671e-19,1.3297335305319011e-07
32,75.38360722335496,6.46064342415427e-19,6.899374310780717e-07,76.5671590435946,1.9776784860983841e-19,6.58355473377338e-08
