,0-14,15 и ст.
0,2.3178892752197817,2.1727733859996987
1,2.577922718955891,2.162102025562021
2,3.2143150871538895,2.6177495512984246
3,3.983863617872176,3.212093656048333
4,4.916823454278251,3.950724661732564
5,6.058348615299486,4.862256362271359
6,7.460564243671658,5.98530053112904
7,9.185390843228575,7.368189411783344
8,11.308022803549143,9.070704651399254
9,13.920547226897726,11.166536726363404
10,17.13606229776427,13.746410309646526
11,21.093589859966414,16.92196438892112
12,25.964038509268065,20.830532835998607
13,31.957481796210683,25.641016330702662
14,39.332050824550954,31.56108280062542
15,48.404791368113884,38.845985266826055
16,59.56489807144034,47.80934542982251
17,73.28980971931347,58.8363196626067
18,90.1647271080415,72.39964156334871
19,110.90619409975297,89.07912093675121
20,136.39045495130082,109.58527024818522
21,167.68735340839186,134.78782050915288
22,206.10054927157984,165.7499688500732
23,253.21476144669862,203.7692522230626
24,310.950549797056,250.4259375125528
25,381.6267424133642,307.6397137586874
26,468.0298858730081,377.7352004630875
27,573.4888833539503,463.51624867982855
28,701.9510729683501,568.3480680575009
29,858.0531101882635,696.2446686568516
30,1047.1758283237164,851.9567039287929
31,1275.4664281100718,1041.05122086907
32,1549.8036572607803,1269.9697048709463
33,1877.672151012499,1546.043815630348
34,2266.9015408725745,1877.439181473799
35,2725.216231922882,2272.986823950703
36,3259.5367548563786,2741.8503678309567
37,3874.9798132353963,3292.9678001167467
38,4573.5309330655655,3934.2040609828077
39,5352.422014176647,4671.1628658108875
40,6202.344803584362,5505.643099533237
41,7105.768830996733,6433.797527881328
42,8035.78557465517,7444.165238851107
43,8956.01506643208,8515.896329849886
44,9822.103238131938,9617.636103343639
45,10585.123206143746,10707.625257712629
46,11196.742054062177,11735.521551304897
47,11615.415316280505,12646.1904468562
48,11812.346544935937,13385.246564912055
49,11775.773336589926,13905.562107608022
50,11512.478050251651,14173.499844160786
51,11046.188332540803,14173.499844136286
52,10413.41303711655,13909.96445880777
53,9657.882097636479,13406.06332375518
54,8824.91300091424,12699.867096668286
55,7956.749841927402,11838.821411251522
56,7089.424301996061,10873.8034265815
57,6251.202974999385,9853.853017310925
58,5462.35513940937,8822.274725574882
59,4735.831206954194,7814.35052702354
60,4078.443326313308,6856.533848975679
61,3492.2211473046846,5966.7793746670095
62,2975.722180465149,5155.596548879001
63,2525.1733779578744,4427.453028141657
64,2135.393861015634,3782.2449676561932
65,1800.496254046828,3216.652338687696
