,0-2,3-6,7-14,15 и ст.
0,1.4612322382967247,2.4044991591046023,3.1927518867233733,1.7127568409481089
1,0.6660193365765892,2.9901907852307117,5.396123343022405,0.9082729821051907
2,0.7585937414457008,4.207181286341788,7.999810333712955,0.9280399644935302
3,1.000338734716224,5.92773423136451,11.426264512860314,1.1729905074922768
4,1.3810638340918855,8.34057255308825,16.136518762505403,1.598435436615127
5,1.931894818067288,11.728679968636209,22.713456380174105,2.227690878537692
6,2.71212232248034,16.48864011124199,31.93799326977769,3.124195121229302
7,3.810773682096972,23.17533499391868,44.888508229674514,4.388615083986025
8,5.3548479507389715,32.565227934372324,63.067550951872015,6.166531136697663
9,7.5228944875904045,45.743437640840774,88.57060237550388,8.663405840017793
10,10.564513692231138,64.2228360269031,124.3138449515858,12.166840650071007
11,14.82723580177055,90.10526005800811,174.3394908959757,17.07756881084741
12,20.792741648387867,126.29612448554505,244.21749707288097,23.95141255493798
13,29.124538522991987,176.78287440335458,341.55772787966106,33.55473051011084
14,40.72865544113596,246.98183559493654,476.6298409707111,46.93539085070285
15,56.82689133097786,344.1414202631086,663.0467928770041,65.50918807221164
16,79.037168777928,477.75233794248567,918.3808409310961,91.15625310129903
17,109.44517020473471,659.8417509385977,1264.4175078603237,126.31064049723646
18,150.63218512764766,904.8980652241335,1726.479929999196,174.00491826894014
19,205.59248789385833,1228.9722801259236,2330.8694244594612,237.79598449566413
20,277.43010305610915,1647.2561644619464,3099.078365359664,321.4481625227579
21,368.68404196352253,2169.285776546012,4037.423479245423,428.1992902166067
22,480.13906861202554,2791.2186815019695,5121.945210587315,559.4337212749213
23,609.1274278061155,3485.9808906219705,6281.893625974696,712.7338581000499
24,747.7209022910521,4194.907486635507,7390.91172115422,879.7039537137484
25,881.8205591863767,4827.8872959999135,8279.557771696936,1044.6498376717677
26,992.5542094324733,5279.399260664057,8777.96946978831,1185.7351197366768
27,1060.7827125805243,5460.605175054371,8777.883305617399,1279.7267518711938
28,1073.52212175986,5334.10203486414,8280.347565378142,1309.3393064892498
29,1028.9795434701532,4930.075915524609,7395.851047798939,1269.66044776845
30,937.0514936302595,4332.516175416155,6296.009336000637,1169.818156217933
31,815.0718414499162,3645.2829023462996,5150.0998576613365,1028.9709068579946
32,681.6520644224684,2959.3388561898846,4081.9794510285133,869.3439479890192
33,551.8920552849644,2335.5951157108325,3158.8287643294298,710.1364171535314
34,435.3954828079423,1803.9041227644134,2401.6924582247334,564.4374683148362
35,336.6003557033693,1370.8850635648737,1802.9183174994841,439.026230939865
36,256.20838260724787,1029.4492843476235,1341.189801552721,335.7917181299032
37,192.73523652160858,766.3398484175231,991.3098497112295,253.55568443810046
38,143.71402535627155,566.8722924554299,729.3755081551868,189.61146672761592
39,106.46065122057384,417.4012166652792,534.9239463505445,140.76766333499916
40,78.4825260172995,306.3212697275728,391.4150492200418,103.9435424591506
41,57.6508769839219,224.2611762210336,285.9388675864855,76.44678719286881
42,42.237710786797955,163.89768331758225,208.64158109114442,56.05893967966358
43,30.885954968646992,119.630476865773,152.11209882417467,41.019815984231016
44,22.55340496481121,87.2392800075841,110.83169361337471,29.96790536320902
45,16.45197812916153,63.57594842617317,80.71877730886428,21.868419280448755
46,11.992216788360789,46.308786990862366,58.76896796248701,15.944542904067502
47,8.73663453360592,33.71950846150456,42.77817484834002,11.618218237208442
48,6.362333939467458,24.54641485599478,31.13324864418239,8.461983861668209
49,4.631942893233679,17.865460656262435,22.655538149194943,6.161166378751097
50,3.371463976144304,13.001148051074967,16.484902677397006,4.484874825601502
51,2.4536200715231464,9.460335321771737,11.994187436609664,3.264092578165874
52,1.785449969720016,6.883357615369325,8.726402598623693,2.375307485055508
53,1.2991306181885793,5.008083635151973,6.34870429827565,1.7283724869106016
54,0.9452187163769579,3.6435639906621176,4.618749057364323,1.257551686388273
