,A(H3N2)_0-14,B_0-14
34,0.0,0.0
35,0.0,2620.0
36,651.0,651.0
37,378.0,1132.0
38,0.0,440.0
39,0.0,1196.0
40,0.0,2802.0
41,0.0,4461.0
42,224.0,2890.0
43,0.0,3492.0
44,0.0,446.0
45,154.0,2619.0
46,172.0,1375.0
47,0.0,3512.0
48,217.0,2163.0
49,0.0,1513.0
50,0.0,0.0
51,0.0,1321.0
52,0.0,256.0
53,0.0,1625.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
