,0-14
-1,10701.0
0,2620.0
1,1953.0
2,3019.0
3,3520.0
4,8772.0
5,15691.0
6,16471.0
7,18166.0
8,13688.0
9,3683.0
10,13403.0
11,4984.0
12,8778.0
13,4760.0
14,2690.0
15,806.0
16,1321.0
17,256.0
18,1895.0
19,506.0
20,2789.0
21,1676.0
