,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14
0,2.320664413070826,1.8981724482647515,1.9430029802393565
1,2.7602218591235714,1.186298584292047,1.3182196705230684
2,3.8543773355341733,0.9365863420897838,1.1183805353983431
3,5.425284194662668,0.74611480628479,0.9573724118258522
4,7.640834913325518,0.5947989497552774,0.8201069221467986
5,10.761104717678375,0.4741753034687324,0.7025233202561302
6,15.1548042453283,0.3780027497373763,0.6017734809302868
7,21.340854493095712,0.3013239368920973,0.5154425699866967
8,30.048918834602635,0.240186639378162,0.441461674115698
9,42.304240784615104,0.19143962374284532,0.378057433560868
10,59.545940619713434,0.15257033969128359,0.3237096167109961
11,83.79124309805235,0.12157548660101931,0.2771147421080955
12,117.8620710916929,0.09685779889368348,0.2371548751224309
13,165.6949165151499,0.07714374444326581,0.20287086523763548
14,232.75909487353093,0.06141790287399326,0.17343939810703524
15,326.6103751509005,0.0488706476546799,0.14815333416395976
16,457.6020921543215,0.03885644033138022,0.1264048958991827
17,639.7551990597021,0.030860591898119544,0.10767135334498662
18,891.7354739666291,0.02447278307833602,0.09150294674644333
19,1237.7713706921584,0.019365984339055273,0.0775128812273182
20,1708.1262181442046,0.015279695094695775,0.06536933110836483
21,2338.3628881292325,0.012006642687368391,0.05478949059812647
22,3166.0892192625533,0.009382253890446193,0.04553576523891534
23,4223.274214498382,0.007276338886722958,0.0374141267956029
24,5522.073143104783,0.005586510168409945,0.03027429630744791
25,7033.524947956367,0.004232897392940835,0.024010586186303078
26,8663.106497420491,0.0031537271289717845,0.01856089514662521
27,10235.42942901294,0.002301358540958471,0.01390007607803347
28,11507.97177890919,0.0016384867137360897,0.01002424385089616
29,12229.125495851133,0.0011345180605184556,0.006926454743813126
30,12229.13596022578,0.0007625191646214495,0.004571168286389766
31,11496.703215485923,0.0004973485569458419,0.002879787512205211
32,10188.135658808553,0.00031529331781123514,0.0017356879923410946
33,8560.142604985449,0.00019485821813057232,0.0010053650251490105
34,6872.398875957159,0.00011785728425114112,0.0005629817115361207
35,5316.696964345811,7.00510711719385e-05,0.00030672449658163993
36,3995.5254455622935,4.1074289142593264e-05,0.00016356838146099043
37,2937.2734239225206,2.3837741249542607e-05,8.58238081601536e-05
38,2124.387380015206,1.3729903885019258e-05,4.44948756536308e-05
39,1518.3548188495927,7.864678541712363e-06,2.286815164592086e-05
40,1076.012352675249,4.487279107101976e-06,1.1679960490762947e-05
41,757.9397147429331,2.5531149266179125e-06,5.939179040972784e-06
42,531.616036146508,1.4497759950183481e-06,3.0106008442448007e-06
43,371.7570248003671,8.221101702572369e-07,1.5227415135165296e-06
44,259.4231099612709,4.657343963917938e-07,7.690095260274002e-07
45,180.76798345825267,2.636652044773608e-07,3.8794593997585873e-07
46,125.83183654068841,1.4919784668231533e-07,1.9556261596225878e-07
47,87.52870437078717,8.439752677317849e-08,9.853131242801601e-08
48,60.85488293679839,4.7730688510665284e-08,4.962554906960203e-08
49,42.29517574619085,2.698961638097136e-08,2.4987738601045422e-08
50,29.388830156597322,1.5259762987706292e-08,1.2579764819215704e-08
51,20.417451713141446,8.627114355590582e-09,6.332354727731677e-09
52,14.1830813476863,4.877083362691257e-09,3.1872874091997635e-09
53,9.851555089897461,2.7570124463511046e-09,1.604174872802122e-09
54,6.842499465531993,1.5584974917958107e-09,8.073548758463688e-10
55,4.75234471798252,8.809793576875789e-10,4.063169391105224e-10
56,3.3005735652631234,4.979892530458221e-10,2.0448282479366902e-10
57,2.292254245798366,2.8149485865824544e-10,1.0290649992451203e-10
58,1.591954020541045,1.5911765341023717e-10,5.178746528951477e-11
59,1.1055906094313324,8.994239733754802e-11,2.6061753924358032e-11
60,0.76781297141355,5.084043989707304e-11,1.3115372681518268e-11
61,0.53323010529352,2.8737783575523663e-11,6.600187158107217e-12
62,0.3703160764936106,1.624413669696901e-11,3.3214743777142055e-12
63,0.2571754815025029,9.182048479457773e-12,1.6714942860148958e-12
64,0.17860183829932094,5.190177801305915e-12,8.411596341195797e-13
65,0.12403431389278866,2.9337607083939023e-12,4.233032757628526e-13
66,0.0861385323295349,1.6583148857696123e-12,2.1302207566038712e-13
67,0.05982089069977652,9.373660347330492e-13,1.0720065524589759e-13
68,0.04154398334517974,5.298480725342141e-13,5.3947355466689893e-14
69,0.028851160960162867,2.994976766004294e-13,2.7148310375697185e-14
70,0.02003633945995322,1.6929164449979113e-13,1.3662035178732804e-14
71,0.013914686274903706,9.569242647873811e-14,6.8752414847482956e-15
72,0.009663365869160475,5.409032548460628e-14,3.4598756430566152e-15
73,0.006710940726150342,3.0574658255597405e-14,1.7411372404694324e-15
74,0.004660562823453544,1.7282382805005196e-14,8.762045572280247e-16
75,0.0032366319633477304,9.768899108815388e-15,4.409384817252515e-16
76,0.002247751327701842,5.521888391708404e-15,2.2189652000321357e-16
77,0.0015610010727577527,3.121257665982221e-15,1.1166651850957204e-16
78,0.001084072022376785,1.764296683791771e-15,5.619471308180496e-17
79,0.0007528579979852318,9.972719694231054e-16,2.8279253318865784e-17
80,0.0005228390282339837,5.637098273660299e-16,1.423116378608079e-17
81,0.00036309722333729456,3.1863802330593373e-16,7.16164673741898e-18
82,0.00025216096390054724,1.8011073227957944e-16,3.604004892742386e-18
83,0.00017511880437993916,1.018079246298523e-16,1.8136682427353248e-18
84,0.00012161515859829364,5.754711771762257e-17,9.127047798811106e-19
85,8.445835867299764e-05,3.2528614728127395e-17,4.593067216868078e-19
86,5.865399041157764e-05,1.8386859635433464e-17,2.311400895044815e-19
87,4.07335714796366e-05,1.0393206413092088e-17,1.163182214424268e-19
88,2.8288336964992172e-05,5.8747791452919115e-18,5.853562082740529e-20
89,1.9645466357323102e-05,3.3207297759364424e-18,2.945728418779401e-20
90,1.3643232150105518e-05,1.877048646681939e-18,1.4823992286823063e-20
91,9.474846771347525e-06,1.0610052186168815e-18,7.459979878200342e-21
92,6.5800186017509105e-06,5.997351618427018e-19,3.754137124750003e-21
93,4.569640632997574e-06,3.390014092609209e-19,1.8892203170985072e-21
94,3.1734888270142403e-06,1.9162117346333176e-19,9.50725369869891e-22
95,2.203900075266306e-06,1.0831422264353682e-19,4.784400848973247e-22
96,1.5305475476553316e-06,6.122481464216264e-20,2.4076870365392264e-22
97,1.062922871097227e-06,3.460743969227822e-20,1.211636952854055e-22
98,7.381704878267521e-07,1.956191928144393e-20,6.097404202604212e-23
99,5.126389542579203e-07,1.1057411047323831e-20,3.0684387697360107e-23
100,3.5601355209363255e-07,6.250222041622219e-21,1.5441516046414888e-23
101,2.4724154928402406e-07,3.5329495667974355e-21,7.77074061777191e-24
102,1.7170240664378424e-07,1.9970062756820966e-21,3.910523394666806e-24
103,1.1924256474129688e-07,1.1288114901473052e-21,1.9679196581664093e-24
104,8.281065783528149e-08,6.380627821777687e-22,9.903297820126854e-25
105,5.750970776238161e-08,3.606661675167913e-22,4.983704863514418e-25
106,3.993889884913286e-08,2.0386721812429642e-22,2.507984170296637e-25
107,2.773645882311901e-08,1.1523632203123174e-22,1.262110171191375e-25
108,1.9262202269333696e-08,6.513754412045012e-23,6.351404060242266e-26
109,1.3377065855119872e-08,3.681911726489715e-23,3.196260869871548e-26
110,9.290001651425416e-09,2.081207411902701e-23,1.6084764016543735e-26
111,6.45164878592945e-09,1.1764063380976696e-23,8.09444673013463e-27
112,4.480491351753082e-09,6.649658579925554e-24,4.0734242541324075e-27
113,3.1115771207067643e-09,3.758731808694649e-24,2.049897381173806e-27
114,2.1609041102863382e-09,2.1246301054227963e-24,1.0315839969480832e-27
115,1.500688041050932e-09,1.2009510959060734e-24,5.191311294568384e-28
116,1.0421862709376988e-09,6.788398277313229e-25,2.61245938642352e-28
117,7.237694934720662e-10,3.8371546791971297e-25,1.3146859547515851e-28
118,5.026378626245827e-10,2.168958777992013e-25,6.615984801919832e-29
119,3.490680710122509e-10,1.2260079600473467e-25,3.3294076612771646e-29
120,2.424181050825883e-10,6.930032665217349e-26,1.675480779785713e-29
121,1.6835265826925273e-10,3.917213778866882e-26,8.431637483390903e-30
122,1.169162572930262e-10,2.2142123321237323e-26,4.2431110824449354e-30
123,8.11951017580435e-11,1.2515876152021027e-26,2.135290054088813e-30
124,5.638774882244092e-11,7.074622138992542e-27,1.0745567406789137e-30
125,3.91597294469516e-11,3.9989432462897494e-27,5.407565996607522e-31
126,2.7195347258625786e-11,2.260410064716709e-27,2.721286731605323e-31
127,1.8886415278204086e-11,1.277700968978039e-27,1.3694518902325032e-31
128,1.3116092200206936e-11,7.222228354092994e-28,6.89158719616089e-32
129,9.108762677841941e-12,4.082377932325206e-28,3.468100954917466e-32
130,6.325783339639627e-12,2.307571675283703e-28,1.74527636249016e-32
131,4.393081286155851e-12,1.3043591565611689e-28,8.782874607926088e-33
132,3.0508732516710237e-12,7.372914252363547e-29,4.419866563052004e-33
133,2.118746954920678e-12,4.167553414967442e-29,2.224239933649469e-33
134,1.471411064529437e-12,2.355717274351718e-29,1.1193196020435579e-33
135,1.0218542218038054e-12,1.3315735454640697e-29,5.632829231076993e-34
136,7.096494486074802e-13,7.526744088879246e-30,2.8346475026925085e-34
137,4.928318826338339e-13,4.2545060145164435e-30,1.4264992128981242e-34
138,3.4225808956381235e-13,2.404867392037485e-30,7.17867037247525e-35
139,2.376887616236148e-13,1.3593557403731863e-30,3.612571801701674e-35
140,1.6506826025403314e-13,7.683783459344819e-31,1.817979423110094e-35
141,1.146353338591593e-13,4.343272809065603e-31,9.148743234099574e-36
142,7.961106362166213e-14,2.4550429868018575e-31,4.6039851551396814e-36
143,5.528767821934458e-14,1.387717588097273e-31,2.3168952025827344e-36
144,3.8395760888365465e-14,7.84409932806581e-32,1.1659471520576676e-36
145,2.6664792258914495e-14,4.433891650312463e-32,5.8674762668418174e-37
146,1.851795952887378e-14,2.506265454386867e-32,2.9527305488241564e-37
147,1.2860209889629458e-14,1.4166711826190775e-32,1.4859229586031576e-37
148,8.931059501855475e-15,8.00776005650334e-33,7.47771258634901e-38
149,6.2023734068294615e-15,4.526401179699332e-33,3.7630608774365e-38
150,4.307376506645494e-15,2.5585566369392323e-33,1.8937110785916262e-38
151,2.991353656581239e-15,1.4462288702524217e-33,9.529852867072506e-39
152,2.0774122450026178e-15,8.1748354324246e-34,4.795773584193873e-39
153,1.4427052535871268e-15,4.620840844890665e-34,2.4134102164703184e-39
154,1.0019188313416693e-15,2.6119388323242325e-34,1.2145170681451936e-39
155,6.958048722018e-16,1.4764032549068884e-34,6.111898005359827e-40
156,4.832172078564941e-16,8.345396699661569e-35,3.0757325860368776e-40
157,3.3558096428635836e-16,4.7172509165942293e-35,1.547822122115428e-40
158,2.3305168309487513e-16,2.6664348036339e-35,7.7892120159798e-41
159,1.6184793767684512e-16,1.5072072034623412e-35,3.919818883772197e-41
160,1.1239890904192304e-16,8.519516588490611e-36,1.972597491255264e-41
161,7.805792854178525e-17,4.815672505733232e-36,9.92683840219159e-42
162,5.4209068932882984e-17,2.7220677888935997e-36,4.99555135297867e-42
163,3.7646696619639127e-17,1.538653851255589e-36,2.5139457608917545e-42
164,2.6144587875617175e-17,8.697269346645931e-37,1.2651102635422367e-42
165,1.8156691995899774e-17,4.9161475809767296e-37,6.366501631889512e-43
166,1.2609319596176218e-17,2.778861510971124e-37,3.2038585249765957e-43
167,8.756823143467902e-18,1.5707566076815195e-37,1.6122998220325195e-43
168,6.081371082800451e-18,8.878730770980095e-38,8.113687592198173e-44
169,4.223343744735649e-18,5.018718986635796e-38,4.0831069658496045e-44
170,2.932995231395091e-18,2.836840187692532e-38,2.0547700789713086e-44
171,2.0368839354147336e-18,1.6035291619110962e-38,1.0340361182669225e-44
172,1.4145594653344095e-18,9.063978239785112e-39,5.203651273800036e-45
173,9.823723611231425e-19,5.123430460933078e-39,2.6186693192791275e-45
174,6.822303901310461e-19,2.8960285421690572e-39,1.3178110220914328e-45
175,4.737901061123355e-19,1.6369854887286595e-39,6.631711293825093e-46
176,3.2903410328411137e-19,9.253090745787881e-40,3.3373218122617803e-46
177,2.285050694965546e-19,5.230326654653524e-40,1.679463472568353e-46
178,1.5869044048768255e-19,2.9564518133394564e-40,8.451679862961032e-47
179,1.1020611471621818e-19,1.6711398544910138e-40,4.253197147345152e-47
180,7.653509362958108e-20,9.446148929834056e-41,2.1403657340905535e-47
181,5.315150227346433e-20,5.339453150184261e-41,1.0771110101323563e-47
182,3.6912245872450064e-20,3.0181357667323447e-41,5.420420022942031e-48
183,2.5634532178188995e-20,1.7060068232108537e-41,2.727755351929837e-48
184,1.7802472444112756e-20,9.643235115274707e-42,1.3727071386514657e-48
185,1.2363323930407065e-20,5.450856480951708e-42,6.907968807289003e-49
186,8.585985968411024e-21,3.0811067054530534e-42,3.4763447860668616e-49
187,5.962729397427006e-21,1.7416012627671073e-42,1.7494249624958778e-49
188,4.140950380975301e-21,9.844433343070403e-43,8.803751893857284e-50
189,2.875775322807512e-21,5.564584151264237e-43,4.430372783638518e-50
190,1.997146294064222e-21,3.145391481399733e-43,2.229527051494973e-50
191,1.386962774268659e-21,1.7779383512448579e-43,1.121980274821371e-50
192,9.632072236893208e-22,1.0049829407627746e-43,5.646218718199202e-51
193,6.689207331152047e-22,5.680684656568829e-44,2.841385586642205e-51
194,4.64546918032363e-22,3.2110175067134664e-44,1.429890065355635e-51
195,3.226149652266798e-22,1.8150335834075422e-44,7.195734393158949e-52
196,2.2404715594509876e-22,1.0259510893383592e-44,3.6211590465181995e-52
197,1.555945430238094e-22,5.799207504130373e-45,1.8223008415439915e-52
198,1.0805609969322926e-22,3.27801276546728e-45,9.170490206125913e-53
199,7.504196775799777e-23,1.852902777304186e-45,4.614929033857943e-53
200,5.211456771972707e-23,1.0473567212152563e-45,2.322402566148337e-53
201,3.619212355108535e-23,5.9202032341424234e-46,1.1687186606082062e-53
202,2.5134427175555342e-23,3.346405825599039e-46,5.881423520467281e-54
203,1.745516337419637e-23,1.8915620810144945e-46,2.9597493214581134e-54
204,1.2122127402855935e-23,1.0692089641253798e-46,1.489455063963115e-54
205,8.418481661895999e-24,6.043723441278415e-47,7.495487443755676e-55
206,5.846402296925394e-24,3.416225851093308e-47,3.772005841519654e-55
207,4.060164432287479e-24,1.9310279795346726e-47,1.8982125145592028e-55
208,2.8196717194575695e-24,1.0915171362433178e-47,9.552505753749105e-56
209,1.9581838957762364e-24,6.169820796692512e-48,4.807173352589534e-56
210,1.3599044680332683e-24,3.487502614417378e-48,2.4191470005424765e-56
211,9.44415979605305e-25,1.971317301806911e-48,1.2174040295595233e-56
212,6.55870734672833e-25,1.1142907501597646e-48,6.126426260394348e-57
213,4.554840556383418e-25,6.298549070479517e-49,3.083043740016991e-57
214,3.163210583625778e-25,3.5602665092167675e-49,1.55150136455672e-57
215,2.1967621198812956e-25,2.0124472278955422e-49,7.80772732146868e-58
216,1.5255904353398793e-25,1.1375395169378513e-49,3.929136468650516e-58
217,1.0594802939001366e-25,6.429963154603358e-50,1.9772864437554985e-58
218,7.357797133230213e-26,3.6345485632755894e-50,9.950434941248203e-59
219,5.109786275918555e-26,2.054435296312912e-50,5.0074260020697505e-59
220,3.54860501217745e-26,1.1612733502541145e-50,2.519921522451447e-59
221,2.4644078739256528e-26,6.564119086303977e-51,1.2681174872458087e-59
222,1.7114629969313294e-26,3.710380451747346e-51,6.381635091136486e-60
223,1.1885636386964139e-26,2.0972994114981098e-51,3.21147424004654e-60
224,8.254245202871552e-27,1.1855023706258573e-51,1.6161323308515572e-60
225,5.732344625976787e-27,6.701074071992577e-52,8.132974190650325e-61
226,3.980954539554195e-27,3.7877945106617524e-52,4.092812693805317e-61
227,2.7646626433065634e-27,2.1410578514517282e-52,2.0596543593893412e-61
228,1.919981616306217e-27,1.210236909726714e-52,1.0364940683878032e-61
229,1.3333740432593781e-27,6.840886511645427e-53,5.216020585714298e-62
230,9.259913345723974e-28,3.866823750713389e-53,2.6248940134229415e-62
231,6.4307532911556e-28,2.1857292755299205e-53,1.3209435178561608e-62
232,4.465980009500328e-28,1.2354875147922545e-53,6.647475168305245e-63
233,3.1014993955198776e-28,6.983616023706621e-54,3.3452547755373906e-63
234,2.15390540932726e-28,3.9475018713380215e-54,1.683455632389939e-63
235,1.495827637119879e-28,2.23133273240107e-54,8.471769884164184e-64
236,1.0388108550553712e-28,1.2612649531175075e-54,4.263307187272932e-64
237,7.214253606509532e-29,7.129323470510415e-55,2.145453479210766e-64
238,5.010099273198451e-29,4.029863275082637e-55,1.079671351198579e-64
239,3.479375150418132e-29,2.2778876681684767e-55,5.43330460387228e-65
240,2.4163296528091914e-29,1.2875802166483218e-55,2.734239348454295e-65
241,1.6780740042772712e-29,7.278070984233983e-56,1.375970124941574e-65
242,1.1653759082736875e-29,4.1139430822752745e-56,6.924389358239748e-66
243,8.093212838784437e-30,2.3254139346625088e-56,3.4846082131717637e-66
244,5.62051211019909e-30,1.3144445266685238e-56,1.753583423909435e-66
245,3.903289955443618e-30,7.429921993391653e-57,8.824678806031274e-67
246,2.7107267411843313e-30,4.199777146000947e-57,4.4409039779814585e-67
247,1.8825246264690324e-30,2.373931797905769e-57,2.234826737056162e-67
248,1.307361201488727e-30,1.3418693385848638e-57,1.1246472721374263e-67
249,9.079261365966331e-31,7.584941249881913e-58,5.659640032731398e-68
250,6.305295495817083e-31,4.287402067390015e-58,2.848139687318938e-68
251,4.378853046195984e-31,2.4234619467548757e-58,1.4332889780211582e-68
252,3.040992133183937e-31,1.369866346811803e-58,7.212838975783322e-69
253,2.1118847918680973e-31,7.74319485659875e-59,3.62976670359988e-69
254,1.4666454823919753e-31,4.3768552112255415e-59,1.8266325321828628e-69
255,1.018544657030296e-31,2.4740255017225486e-59,9.192288871677798e-70
256,7.073510475571759e-32,1.398447489758212e-59,4.6258989266655876e-70
257,1.5906226486324238e-32,2.7347170905747363e-60,8.348473338475891e-71
258,0.0,0.0,0.0
259,0.0,0.0,0.0
260,0.0,0.0,0.0
261,0.0,0.0,0.0
262,0.0,0.0,0.0
263,0.0,0.0,0.0
264,0.0,0.0,0.0
265,0.0,0.0,0.0
266,0.0,0.0,0.0
267,0.0,0.0,0.0
268,0.0,0.0,0.0
269,0.0,0.0,0.0
270,0.0,0.0,0.0
271,0.0,0.0,0.0
272,0.0,0.0,0.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0,0.0,0.0
277,0.0,0.0,0.0
278,0.0,0.0,0.0
279,0.0,0.0,0.0
280,0.0,0.0,0.0
281,0.0,0.0,0.0
282,0.0,0.0,0.0
283,0.0,0.0,0.0
284,0.0,0.0,0.0
285,0.0,0.0,0.0
286,0.0,0.0,0.0
287,0.0,0.0,0.0
288,0.0,0.0,0.0
289,0.0,0.0,0.0
290,0.0,0.0,0.0
291,0.0,0.0,0.0
292,0.0,0.0,0.0
293,0.0,0.0,0.0
294,0.0,0.0,0.0
295,0.0,0.0,0.0
296,0.0,0.0,0.0
297,0.0,0.0,0.0
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
301,0.0,0.0,0.0
302,0.0,0.0,0.0
303,0.0,0.0,0.0
304,0.0,0.0,0.0
305,0.0,0.0,0.0
306,0.0,0.0,0.0
307,0.0,0.0,0.0
308,0.0,0.0,0.0
309,0.0,0.0,0.0
310,0.0,0.0,0.0
311,0.0,0.0,0.0
312,0.0,0.0,0.0
313,0.0,0.0,0.0
314,0.0,0.0,0.0
315,0.0,0.0,0.0
316,0.0,0.0,0.0
317,0.0,0.0,0.0
318,0.0,0.0,0.0
319,0.0,0.0,0.0
320,0.0,0.0,0.0
321,0.0,0.0,0.0
322,0.0,0.0,0.0
323,0.0,0.0,0.0
324,0.0,0.0,0.0
325,0.0,0.0,0.0
326,0.0,0.0,0.0
327,0.0,0.0,0.0
328,0.0,0.0,0.0
329,0.0,0.0,0.0
330,0.0,0.0,0.0
331,0.0,0.0,0.0
332,0.0,0.0,0.0
333,0.0,0.0,0.0
334,0.0,0.0,0.0
335,0.0,0.0,0.0
336,0.0,0.0,0.0
337,0.0,0.0,0.0
338,0.0,0.0,0.0
339,0.0,0.0,0.0
340,0.0,0.0,0.0
341,0.0,0.0,0.0
342,0.0,0.0,0.0
343,0.0,0.0,0.0
344,0.0,0.0,0.0
345,0.0,0.0,0.0
346,0.0,0.0,0.0
347,0.0,0.0,0.0
348,0.0,0.0,0.0
349,0.0,0.0,0.0
350,0.0,0.0,0.0
351,0.0,0.0,0.0
352,0.0,0.0,0.0
353,0.0,0.0,0.0
354,0.0,0.0,0.0
355,0.0,0.0,0.0
356,0.0,0.0,0.0
357,0.0,0.0,0.0
358,0.0,0.0,0.0
359,0.0,0.0,0.0
360,0.0,0.0,0.0
361,0.0,0.0,0.0
362,0.0,0.0,0.0
363,0.0,0.0,0.0
364,0.0,0.0,0.0
365,0.0,0.0,0.0
366,0.0,0.0,0.0
367,0.0,0.0,0.0
368,0.0,0.0,0.0
369,0.0,0.0,0.0
370,0.0,0.0,0.0
371,0.0,0.0,0.0
372,0.0,0.0,0.0
373,0.0,0.0,0.0
374,0.0,0.0,0.0
375,0.0,0.0,0.0
376,0.0,0.0,0.0
377,0.0,0.0,0.0
378,0.0,0.0,0.0
379,0.0,0.0,0.0
380,0.0,0.0,0.0
381,0.0,0.0,0.0
382,0.0,0.0,0.0
383,0.0,0.0,0.0
384,0.0,0.0,0.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,0.0,0.0,0.0
388,0.0,0.0,0.0
389,0.0,0.0,0.0
390,0.0,0.0,0.0
391,0.0,0.0,0.0
392,0.0,0.0,0.0
393,0.0,0.0,0.0
394,0.0,0.0,0.0
395,0.0,0.0,0.0
396,0.0,0.0,0.0
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,0.0,0.0,0.0
400,0.0,0.0,0.0
401,0.0,0.0,0.0
402,0.0,0.0,0.0
403,0.0,0.0,0.0
404,0.0,0.0,0.0
405,0.0,0.0,0.0
406,0.0,0.0,0.0
407,0.0,0.0,0.0
408,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,0.0,0.0
411,0.0,0.0,0.0
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,0.0,0.0
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.0,0.0,0.0
419,0.0,0.0,0.0
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,0.0,0.0,0.0
424,0.0,0.0,0.0
425,0.0,0.0,0.0
426,0.0,0.0,0.0
427,0.0,0.0,0.0
428,0.0,0.0,0.0
429,0.0,0.0,0.0
430,0.0,0.0,0.0
431,0.0,0.0,0.0
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,0.0,0.0,0.0
435,0.0,0.0,0.0
436,0.0,0.0,0.0
437,0.0,0.0,0.0
438,0.0,0.0,0.0
439,0.0,0.0,0.0
440,0.0,0.0,0.0
441,0.0,0.0,0.0
442,0.0,0.0,0.0
443,0.0,0.0,0.0
444,0.0,0.0,0.0
