,A(H3N2)_0-14,B_0-14
43,0.0,0.0
44,0.0,2620.0
45,651.0,651.0
46,378.0,1132.0
47,0.0,440.0
48,0.0,1196.0
49,0.0,2802.0
50,0.0,4461.0
51,224.0,2890.0
52,0.0,3492.0
53,0.0,446.0
54,154.0,2619.0
55,172.0,1375.0
56,0.0,3512.0
57,217.0,2163.0
58,0.0,1513.0
59,0.0,0.0
60,0.0,1321.0
61,0.0,256.0
62,0.0,1625.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
