,0-14,15 и ст.
0,3.140163063295077,1.7234702234878403
1,5.301208944655638,0.9793035540648242
2,8.017365477973232,1.0874195269012779
3,11.750340752932608,1.4564967757357574
4,17.06675804928066,2.0657873217047524
5,24.728292405604492,2.9750959651444737
6,35.804142969098685,4.301324336413488
7,51.82593078585052,6.224416368616836
8,74.99970427466096,9.008363538770134
9,108.5039572662289,13.035698377731592
10,156.91117272067612,18.858359387255156
11,226.78087486106494,27.270502771016286
12,327.4837009553366,39.41117945583771
13,472.3236718775408,56.9069407434305
14,680.0182680215166,82.06570238766001
15,976.5486560888405,118.13164073270333
16,1397.2569242967425,169.60223676431764
17,1988.75608259796,242.5843950809738
18,2809.596625602664,345.1119615144738
19,3927.550307869393,487.2397540410882
20,5409.8313887250915,680.547180776445
21,7301.213376389627,936.4370710747771
22,9585.962907044635,1262.4254304118651
23,12137.065056455256,1655.855602085806
24,14674.261366984101,2095.794891156874
25,16774.829662418753,2536.723814057182
26,17979.834085924827,2910.719402438957
27,17979.836025565197,3143.899686325228
28,16772.29270234395,3183.9659213401183
29,14666.434605483459,3023.5667197769703
30,12128.010089028514,2702.9722965228243
31,9585.661780784143,2290.539341355719
32,7318.66007769138,1855.610829494801
33,5447.91406931699,1449.6664803694523
34,3982.9124498427864,1100.9190824471623
35,2875.4873528090343,818.2925199382223
36,2058.035655584272,598.5732093988505
37,1464.206165971468,432.7507755159211
38,1037.454021215949,310.22219180968165
39,733.0046752424705,221.03486779939192
40,516.8864564475284,156.80480690627004
41,363.99419917529775,110.89593494225969
42,256.08497926201613,78.25667387495723
43,180.04795811240123,55.1386008538311
44,126.5298212824689,38.80759022824242
45,88.8910729318094,27.2925561712386
46,62.434665285916026,19.183912113009935
47,43.845501293663716,13.479233748550701
48,30.78763666683944,9.4684157073853
49,21.616931516216006,6.649790929835442
50,15.17707769271061,4.66961916612488
51,10.655300960194774,3.278798759568636
52,7.480518006799544,2.3020770346610298
53,5.251573824845362,1.6162373394741136
54,3.686731906127709,1.1346881337714319
55,2.588151085679626,0.7965960107324688
56,1.8169161049623512,0.5592331235714572
57,1.2754931941903813,0.39259325573725956
58,0.8954060575315431,0.2756064672795339
59,0.628580545859796,0.19347889683964686
60,0.44126670434592274,0.13582388102769558
61,0.30977110295158383,0.095349298104976
62,0.2174604627275165,0.0669357362265489
63,0.1526579678417887,0.046989195844029684
64,0.10716635997053199,0.032986601700267175
65,0.07523109200687847,0.02315670998462301
66,0.052812432360562316,0.016256084096067297
67,0.03707446706154465,0.011411819088263678
68,0.02602637141912102,0.008011128921826673
69,0.018270578614971007,0.005623834019709086
70,0.012825991847369041,0.00394794614663156
71,0.009003878040578776,0.00277146827287123
72,0.006320744540047845,0.0019455776954570502
73,0.004437178150072081,0.0013658003810459614
74,0.00311490989578092,0.000958795238422617
75,0.002186674335561696,0.000673076610986352
76,0.0015350507024529648,0.00047250142685378865
77,0.0010776093228484086,0.00033169715400094404
78,0.0007564843608732473,0.0002328522095305753
79,0.0005310538569284261,0.00016346281714846577
