,0-14,15 и ст.
0,206.0,144.0
1,193.0,124.0
2,229.0,138.0
3,201.0,180.0
4,2036.0,1712.0
5,858.0,706.0
6,4010.0,3595.0
7,4908.0,3921.0
8,7171.0,6189.0
9,7950.0,5661.0
10,8532.0,7015.0
11,12058.0,9232.0
12,11167.0,8910.0
13,6551.0,5353.0
14,9060.0,7710.0
15,18020.0,14041.0
16,8561.0,6961.0
17,6152.0,5024.0
18,1105.0,945.0
19,803.0,776.0
20,206.0,224.0
