,0-14,15 и ст.
0,2.932925528882479,2.1530027777520937
1,5.022086082896998,2.2633517320086973
2,8.180837375408615,3.176755645092416
3,12.830446692411721,4.706802507571399
4,19.809988113778928,7.1114734629620795
5,30.40126902313223,10.824673153041747
6,46.54282855215347,16.522430893814615
7,71.177541038653,25.243275943061427
8,108.7780898066986,38.57470532058765
9,166.13325359004142,58.93614754836571
10,253.51334801185112,90.00424009007837
11,386.36937393827253,137.34473292309298
12,587.7423989704263,209.33556514609984
13,891.5209264863148,318.4790499183049
14,1346.4732925321318,483.1835050705893
15,2020.365246890485,729.9885415358527
16,3002.02963947916,1095.8929198657138
17,4396.440055940848,1629.7051795874704
18,6303.593455834872,2389.9031301576706
19,8768.790808193049,3434.3433984013122
20,11698.469291019397,4795.541657498435
21,14767.324950143648,6438.328766004286
22,17399.90039589923,8211.34579242287
23,18931.545214959217,9830.000470631177
24,18931.544843806725,10939.890432025097
25,17455.096543750944,11262.55518467526
26,14987.463428107996,10735.215762679461
27,12146.919790509004,9533.564782111704
28,9419.051317891246,7966.200676350665
29,7068.454621014489,6334.2383101196265
30,5179.250988376156,4845.372332368325
31,3729.90882507909,3599.8483386825237
32,2652.9090421344877,2617.7143424961623
33,1870.1588237720068,1874.281839398871
34,1310.0451055720782,1327.2665452802978
35,913.5950547967033,932.6158780165779
36,635.1248241272453,651.7482716837801
37,440.5675002730779,453.7384308005
38,305.14257706270143,315.05261215434547
39,211.12156101746393,218.35549446394643
40,145.9630818012852,151.14490068619637
41,100.8631065116838,104.53005665333208
42,69.67367098887141,72.24785915514603
43,48.117084487671335,49.91446572671439
44,33.224377403025514,34.474811999561844
45,22.938442651763012,23.80621734070168
46,15.83565946696819,16.436858436513376
47,10.931614641031537,11.34764561617927
48,7.545983628103934,7.833648569251043
49,5.208779027614012,5.407576113302412
50,3.5954072600042073,3.732738403869579
51,2.481731441001916,2.5765765619108563
52,1.7130013367499402,1.7784925429486538
53,1.1823825640670007,1.2275990918949606
54,0.8161247230356894,0.8473405131559046
55,0.5633182363814848,0.5848671736265734
56,0.38882146409908913,0.4036965580144661
57,0.26837747370513304,0.2786453679225854
58,0.1852428617655894,0.19233038738714017
59,0.12786056560447817,0.13275274181299135
60,0.08825342452397658,0.09163022603010816
61,0.06091529860809798,0.06324610504217416
62,0.042045652429573775,0.043654463234742445
63,0.02902122567607439,0.03013168440625755
64,0.020031356525841655,0.020797833233267806
65,0.013826267043559609,0.01435531479453838
66,0.00954332028691101,0.00990848630021688
67,0.0065870967752235336,0.006839146094384263
68,0.0045466191661993095,0.004720591624684628
69,0.003138217976574636,0.003258299262576503
70,0.0021660956416849537,0.002248979519442374
71,0.001495106563142732,0.0015523156116712467
72,0.0010319690324082083,0.001071456505351856
73,0.0007122971072803095,0.0007395525929676143
74,0.000491649605599894,0.0005104621911235495
75,0.0003393518404047012,0.0003523368726873151
76,0.00023423118850821078,0.00024319386187595776
77,0.00016167364691334446,0.0001678599628801238
78,0.00011159217633629291,0.00011586216400894848
79,7.702438865179023e-05,7.997166691492951e-05
80,5.316462713034196e-05,5.519893021925169e-05
81,3.669587810894713e-05,3.810001734256742e-05
82,2.5328635649270005e-05,2.629781619710435e-05
83,1.748261158629067e-05,1.8151570126934628e-05
84,1.206704190824462e-05,1.2528777886681106e-05
85,8.329047390343363e-06,8.647751914829752e-06
86,5.748967390356443e-06,5.968947159338243e-06
87,3.9681159808305684e-06,4.119952854873052e-06
88,2.7389169859472715e-06,2.8437195158303643e-06
89,1.890485634008203e-06,1.9628235976088803e-06
90,1.3048719441679896e-06,1.3548018550491118e-06
91,9.006631735460115e-07,9.351263499511971e-07
92,6.216657165517093e-07,6.454532720850159e-07
93,4.2909300000947117e-07,4.4551191019848154e-07
94,2.961733255585385e-07,3.0750616769984144e-07
95,2.0442803487909825e-07,2.1225031476969118e-07
96,1.411025836499242e-07,1.4650176436054835e-07
97,9.739338894711313e-08,1.0112007128952535e-07
98,6.722394420596788e-08,6.979621619046014e-08
99,4.6400055727190815e-08,4.817551780155932e-08
100,3.202676065673236e-08,3.325223976489619e-08
101,2.210586565227826e-08,2.295172942274303e-08
102,1.5258155561661982e-08,1.58419970269447e-08
103,1.05316532184692e-08,1.0934638744608713e-08
104,7.269274393346605e-09,7.547427528974236e-09
105,5.01747912788227e-09,5.209469067572204e-09
106,3.4632200459754214e-09,3.595737469728201e-09
107,2.390422118588488e-09,2.481889763332949e-09
108,1.649943644694871e-09,1.7130774560697852e-09
109,1.1388423866645235e-09,1.1824193055833206e-09
110,7.860644124627623e-10,8.161425563463709e-10
111,5.425660897204069e-10,5.633269595094998e-10
112,3.7449597901550776e-10,3.888257766276051e-10
113,2.584887646978733e-10,2.683796364045849e-10
114,1.7841697967140408e-10,1.8524396674873995e-10
115,1.231489448768606e-10,1.2786114355217905e-10
116,8.500122943575841e-11,8.825373542473086e-11
117,5.867049054147468e-11,6.091547126856317e-11
118,4.049619615183109e-11,4.2045751627543204e-11
119,2.7951733275662498e-11,2.902128462785756e-11
120,1.929315509497429e-11,2.0031392681761285e-11
121,1.3316735311109617e-11,1.382628983920832e-11
122,9.19162461884465e-12,9.543334991972548e-12
123,6.344345003483534e-12,6.587106434781821e-12
124,4.3790641145967325e-12,4.546625599923078e-12
125,3.0225661607651635e-12,3.1382223060375647e-12
126,2.086269110733032e-12,2.166098576992649e-12
127,1.4400077850725872e-12,1.4951085639225635e-12
128,9.939381311843656e-13,1.0319704013739243e-12
129,6.860469914560017e-13,7.122980464494324e-13
130,4.735309570274737e-13,4.916502511120353e-13
131,3.2684578469977275e-13,3.393522846558694e-13
132,2.2559911953087394e-13,2.342314945241755e-13
133,1.5571552431020516e-13,1.616738578396953e-13
134,1.0747969478614824e-13,1.1159232178349187e-13
135,7.418582599581241e-14,7.702448897692403e-14
136,5.1205362925818814e-14,5.316469634592675e-14
137,3.534353304245509e-14,3.6695925868477897e-14
138,2.439520504390878e-14,2.5328668607132846e-14
139,1.6838328766382234e-14,1.7482634331378092e-14
140,1.1622337878876308e-14,1.2067057605965412e-14
141,8.022098846320668e-15,8.329058224614227e-15
142,5.53710196440799e-15,5.748974868133463e-15
143,3.821879878519919e-15,3.968121142046759e-15
144,2.637980282777246e-15,2.7389205482943386e-15
145,1.8208159841529277e-15,1.89048809281049e-15
146,1.2567837863656801e-15,1.3048736412905135e-15
147,8.674712323587529e-16,9.006643449435623e-16
148,5.987556070770794e-16,6.216665250823418e-16
149,4.13279730362259e-16,4.2909355808036466e-16
150,2.852585153433293e-16,2.961737107554243e-16
151,1.9689429361694975e-16,2.044283007534897e-16
152,1.3590256126888373e-16,1.411027671644683e-16
153,9.380417187394169e-17,9.739351561444842e-17
154,6.47465550229528e-17,6.722403163564884e-17
155,4.469008471151806e-17,4.640011607384986e-17
156,3.084648551285311e-17,3.2026802309860593e-17
157,2.1291203062978833e-17,2.210589440255656e-17
158,1.4695850121405624e-17,1.5258175405995076e-17
159,1.0143532526179466e-17,1.0531666915643469e-17
160,7.00138142806668e-18,7.269283847561437e-18
161,4.832571076670075e-18,5.017485653474927e-18
162,3.3355907617672714e-18,3.4632245501421714e-18
163,2.3023284196895345e-18,2.3904252275043163e-18
164,1.5891386356105835e-18,1.6499457905651785e-18
165,1.0968728794699103e-18,1.1388438678108945e-18
166,7.570957541123163e-19,7.860654347960187e-19
167,5.225710213310282e-19,5.425667953665941e-19
