,A(H3N2)_0-14,B_0-14
0,2.0022790260353207,2.203062506745964
1,1.5049990085025735,2.2458332939723493
2,1.3972378785881396,2.7318136989722652
3,1.3087446162625462,3.350838563649453
4,1.2266687592918564,4.112625388395773
5,1.149740301386519,5.0475902111936914
6,1.0775972307589743,6.194856676545339
7,1.0099381102722593,7.602501205575529
8,0.9464810003654305,9.3294365747552
9,0.8869608486301455,11.447815946652959
10,0.8311283739645143,14.045963164248182
11,0.7787490357186813,17.231929132419616
12,0.729602051720442,21.13779601664392
13,0.6834794626895253,25.92486888067952
14,0.64018524010765,31.78991113356365
15,0.59953443486883,38.97259344479858
16,0.5613523646212868,47.7643314484057
17,0.5254738385576945,58.5186789879865
18,0.4917424195976108,71.6634107132744
19,0.46000972556043573,87.71435534719373
20,0.4301347732112937,107.29090677009384
21,0.40198337217658553,131.13291283425264
22,0.3754275799062026,160.11827849034486
23,0.35034523435917303,195.28006385205197
24,0.32661958813946645,237.82103943001147
25,0.30413907653403716,289.1225018301453
26,0.2827972621776541,350.742581931392
27,0.2624930102624039,424.3972601037088
28,0.24313095882881014,511.91490270762887
29,0.22462235584693901,615.1526097031734
30,0.2068863336668423,735.8606133960329
31,0.18985167463624203,875.4805107115069
32,0.17345907936161062,1034.8660391380129
33,0.15766386997639448,1213.9238847258314
34,0.14243893569309468,1411.1893596893162
35,0.12777755645513356,1623.3795131320453
36,0.11369554114251083,1845.003056836026
37,0.10023193775128017,2068.1451044747414
38,0.08744749688144493,2282.569566663517
39,0.07542020073224841,2476.2705273540373
40,0.06423759205458913,2636.5345681561876
41,0.05398635038187223,2751.4439941189894
42,0.04474042009195199,2811.584516301987
43,0.036549703697402736,2811.584423797127
44,0.02943155619952111,2751.0821822687485
45,0.023366850120995125,2634.8387360334905
46,0.018301313394916526,2471.9504028208703
47,0.01415155117647418,2274.3807761940943
48,0.01081413198236962,2055.2028508386124
49,0.008175686423449227,1826.963279621108
50,0.006122175405254509,1600.4664701533673
51,0.004546116985505597,1384.10034397568
52,0.0033513035583068373,1183.6668281337688
53,0.0024551447150598137,1002.5846153473279
54,0.0017891252339895293,842.304863513773
55,0.0012979834789306954,702.8018046430697
56,0.0009381680228626518,583.0428408469845
57,0.0006760037193831766,481.38608166051483
58,0.00048585605190177076,395.88685048678855
59,0.0003484597438757775,324.5158915864241
60,0.00024948719776352236,265.30268155245756
61,0.00017837375899774037,216.42068722030382
62,0.00012738357170437615,176.23070338837385
63,9.088419874045128e-05,143.29580326471608
64,6.47935689132004e-05,116.37833024941094
65,4.6164291395711767e-05,94.42647418615468
66,3.287471077470953e-05,76.55560194931377
67,2.3401329292244417e-05,62.02770468795485
68,1.6652350352838852e-05,50.23102232005187
69,1.1846614849481705e-05,40.66101047368494
70,8.425949707101713e-06,32.903224740851755
71,5.99193750241845e-06,26.618324899908224
72,4.260436082028873e-06,21.529179506819148
73,3.0289421690395775e-06,17.409928534372636
74,2.153215978486665e-06,14.076802800195225
75,1.5305644036213647e-06,11.380479253734036
76,1.0879007321920015e-06,9.199754466476607
77,7.732245323364486e-07,7.436334326082203
78,5.495468954305572e-07,6.010559347270921
79,3.9056198850057247e-07,4.857908177181447
80,2.775645111782155e-07,3.926144495344108
81,1.972553580731507e-07,3.172993378136101
82,1.4018008917199394e-07,2.5642517738398216
83,9.961802248935622e-08,2.0722538745935966
84,7.07920846675025e-08,1.6746259572716256
85,5.030690604309178e-08,1.353276893733252
86,3.574928671533137e-08,1.0935802481203531
87,2.5404147226389835e-08,0.8837119413535555
88,1.805260228193431e-08,0.7141141157696781
89,1.2828425421021626e-08,0.5770612989459769
90,9.116026032329314e-09,0.4663094417568814
91,6.477936398618292e-09,0.37681206121977234
92,4.603275101681736e-09,0.30449069782187377
93,3.2711199909714594e-09,0.24604932085603298
94,2.3244780550761498e-09,0.19882428469200714
95,1.6517867013525492e-09,0.16066303735585907
96,1.1737675746926145e-09,0.12982607903884577
97,8.340843066631582e-10,0.10490771861463369
98,5.927035781318253e-10,0.08477202704294379
99,4.211772957637391e-10,0.06850107531910968
100,2.9928999285820444e-10,0.05535310204466261
101,2.1267640560148544e-10,0.0447287066672383
102,1.5112848337725946e-10,0.03614352920929806
103,1.0739232695348331e-10,0.029206172295832597
104,7.631327883714514e-11,0.023600359813961868
105,5.4228416118152126e-11,0.019070519377667156
106,3.8534850820542795e-11,0.015410131662498518
107,2.738296103828853e-11,0.012452315687350392
108,1.9458399071631915e-11,0.010062220973591567
109,1.3827185218734833e-11,0.008130879833434551
110,9.825630673895695e-12,0.006570239572042771
111,6.982116260824818e-12,0.005309148157935399
112,4.961508092193939e-12,0.004290110370723582
113,3.5256591363054293e-12,0.003466666552322964
114,2.505341497915329e-12,0.002801274466666624
115,1.7803014088278193e-12,0.0022635977061808447
116,1.2650862449897942e-12,0.0018291226156326938
117,8.9897316472099e-13,0.0014780406798029799
118,6.388123716617341e-13,0.0011943454232081901
