,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.
93,0.0,0.0,362.0,0.0,0.0,194.0
94,0.0,520.0,0.0,0.0,295.0,0.0
95,0.0,1454.0,968.0,0.0,898.0,599.0
96,0.0,685.0,0.0,0.0,338.0,0.0
97,0.0,315.0,0.0,0.0,124.0,0.0
98,0.0,4288.0,2338.0,0.0,2999.0,1636.0
99,154.0,6178.0,1700.0,111.0,4435.0,1220.0
100,533.0,9725.0,1954.0,348.0,6349.0,1276.0
101,433.0,9659.0,2383.0,263.0,5869.0,1448.0
102,251.0,10190.0,3900.0,171.0,6908.0,2644.0
103,393.0,9418.0,6472.0,308.0,7398.0,5083.0
104,110.0,6312.0,5620.0,93.0,5296.0,4715.0
105,527.0,6132.0,4697.0,471.0,5450.0,4175.0
106,362.0,2181.0,2740.0,301.0,1807.0,2269.0
107,403.0,2830.0,3104.0,355.0,2477.0,2718.0
108,355.0,1327.0,2523.0,327.0,1229.0,2335.0
109,307.0,842.0,1608.0,273.0,751.0,1434.0
110,533.0,428.0,2786.0,467.0,373.0,2438.0
111,521.0,596.0,2456.0,430.0,492.0,2029.0
112,438.0,220.0,803.0,351.0,176.0,645.0
113,0.0,994.0,1991.0,0.0,823.0,1646.0
114,176.0,295.0,590.0,139.0,232.0,463.0
115,0.0,0.0,749.0,0.0,0.0,612.0
116,122.0,122.0,365.0,110.0,110.0,331.0
117,0.0,245.0,983.0,0.0,268.0,1073.0
118,0.0,212.0,0.0,0.0,227.0,0.0
