,0-2,3-6,7-14,15 и ст.
0,1.9989203278315264,3.4827024453404984,2.53717722873854,1.9483813383417354
1,1.782646228387649,5.732113236838672,3.4350046986027403,1.495133874251719
2,2.1236653929444476,7.778020727271883,4.695175369596635,1.6480795427354358
3,2.6246425709206638,10.109834160962073,6.141142924350846,1.9702517584499684
4,3.2902970228522452,12.929057441083753,7.8754100756104375,2.4361395985425656
5,4.148466036661676,16.430414800350842,10.019346072414569,3.0544337276026328
6,5.2423785223571855,20.827551825150465,12.706296461345449,3.851267060613214
7,6.630514686929097,26.37390923444343,16.09261094111849,4.866781462143941
8,8.388704172640894,33.38133305833162,20.36941556496418,6.155242237158167
9,10.613680728463589,42.239254308480305,25.77468385014059,7.786963110811123
10,13.428001187179866,53.43663483838898,32.606814019764116,9.851583766110693
11,16.986425657583993,67.58829195207736,41.24075362399061,12.462598725846457
12,21.483974672090916,85.4670168652841,52.147573081432604,15.763215165938282
13,27.1659641883898,108.04287204157725,65.91834233281531,19.933725319555904
14,34.340380437487866,136.53105727335705,83.2931442701571,25.200649571827224
15,43.392991210484475,172.44967060395408,105.19599702087943,31.847949207217432
16,54.8055834707517,217.6884375629304,132.77627565548974,40.23061874217982
17,69.17763939958911,274.58887155443176,167.4568140715271,50.79092947197672
18,87.25156427987908,346.03510954326623,210.98807190667605,64.07747556214048
19,109.94118246006028,435.55247475362523,265.5063412199641,80.76691881098267
20,138.36250753106458,547.407137696547,333.59162638789905,101.68785832347436
21,173.8646097976443,686.694400413961,418.3171472486665,127.84545317146986
22,218.05654068110204,859.3943133165424,523.2769174077434,160.44414868448592
23,272.823491992575,1072.360785246592,652.5701183432315,200.90391967049092
24,340.32145897976596,1333.1937503603108,810.7109367551822,250.86267048341855
25,422.93459848409265,1649.9242762690312,1002.4209395168714,312.153737149551
26,523.1736243299318,2030.4234248046516,1232.2504876245494,386.74300149698547
27,643.4882430388143,2481.435703833305,1503.971729368519,476.6057005636011
28,785.9645759816947,3007.152594254276,1819.6981905781129,583.5203488660304
29,951.8845559525124,3607.3040705925614,2178.7289279656734,708.7595018537203
30,1141.1452047443095,4274.882465390813,2576.203281693485,852.6691870619061
31,1351.5784064413758,4993.837639295742,3001.7905993272475,1014.1562036727757
32,1578.278440090051,5737.368733890734,3438.8058785356197,1190.1483447867722
33,1813.124317386775,6467.684510815393,3864.269394414342,1375.1523125110775
34,2044.745061118499,7138.125819194605,4250.403281772664,1561.088740636628
35,2259.1668798484106,7698.134037955157,4567.770159638953,1737.5981806072439
36,2441.2525289079535,8100.643197812394,4789.699237823912,1892.9460537795653
37,2576.791629226494,8310.328819018489,4897.00006473992,2015.4915674758283
38,2654.807088226774,8310.352648327853,4881.5866288955185,2095.4640103888737
39,2669.4577922141007,8105.40073779786,4747.834163722741,2126.6085184938447
40,2620.974644901673,7720.039273022121,4511.263154875327,2107.2340473731265
41,2515.3738734006856,7193.123169513872,4195.10592640466,2040.3638232270373
42,2363.1035450777163,6570.2666689088755,3825.9527641278637,1932.9846836369752
43,2177.0921147725503,5896.636010153368,3429.727069220731,1794.6721973731055
44,1970.754692309804,5211.651261924395,3028.812519470076,1636.0083829272355
45,1756.3879423419626,4546.152103225407,2640.5772150815533,1467.175676894263
46,1544.1590291037335,3921.7406839550135,2277.0957542239194,1296.9624358473607
47,1341.6850703332868,3351.604145044572,1945.6682533436099,1132.2429343540912
48,1154.0713404342778,2842.0878593438633,1649.7336577902736,977.8665362989419
49,984.2346177839077,2394.463079443998,1389.875738781408,836.8297460919135
50,833.3554464995689,2006.5531885920905,1164.7418501913767,710.6000673091295
51,701.3468381539719,1674.0653868527888,971.7934339982543,599.4875220016477
52,587.2732228288413,1391.5942371688568,807.8715678724634,502.9962301265873
53,489.6903076899938,1153.3273441704391,669.5951128319434,420.1211418272378
54,406.9008130886307,953.5090206490902,553.6227494297218,349.5785222786744
55,337.1344240095622,786.7213951782728,456.8120934154197,289.9729258613467
56,278.66588839659585,648.0355351272381,376.3052997825312,239.91025456219074
57,229.88606848044134,533.0746854693642,309.56479474162256,198.06860091195256
58,189.33920826544048,438.02121632974865,254.37695390736573,163.23803384176932
59,155.73720480096236,359.5898566310795,208.83651826639942,134.33875131648986
60,127.95909905311872,294.98268975308,171.32055490850644,110.42496896801349
61,105.04173289015057,241.83609828536584,140.45778418661848,90.67999093555956
62,86.1656899479661,198.16606666865098,115.09695053509476,74.40630468134167
63,70.63925077664335,162.31564300629125,94.27642682295098,61.013295089952706
64,57.88208682001889,132.90661860855727,77.19624354059115,50.004252895498645
65,47.409715567897386,108.79635750830346,63.19308604263392,40.963700031291964
66,38.81926582196648,89.04000858624308,51.71839892255573,33.54560817236966
67,31.776794230561485,72.85792110081312,42.3194976985946,27.462791992117587
68,26.006202470522137,59.60786159949986,34.62345809104529,22.47757148100952
69,21.279691607624574,48.761527974406,28.323493077423322,18.39368457143193
70,17.409629507433955,39.88482842980784,23.167510934393142,15.049367774517052
71,14.241679950286892,32.62140856747503,18.94855583017974,12.311491193245569
72,11.649035508664596,26.67894868818584,15.496854637344015,10.070623134373653
73,9.527601709313355,21.81780312621988,12.673222148540841,8.236900508552692
74,7.791991943320352,17.841606259567257,10.3636072936025,6.736588953314474
75,6.37220746550594,14.58952127707033,8.474592642072258,5.509227716570019
76,5.21089247428393,11.929855412895975,6.929687005116629,4.505266671924722
77,4.261069424636725,9.754808058436705,5.666275658375018,3.684115134457799
78,3.4842737246133977,7.976155603037183,4.633114389866269,3.012533699776035
79,2.849019491991267,6.5217091679519426,3.7882723014104873,2.463310789582126
80,2.3295390182523597,5.33240895944385,3.0974442707152483,2.0141748232126653
81,1.9047480471564036,4.3599422677628565,2.532567494971536,1.6469009465494788
82,1.5573970395653407,3.5647917034809797,2.070687887103654,1.346578109879219
83,1.2733754110237272,2.9146366032106976,1.6930315779117118,1.101008103106592
84,1.0411414489608344,2.3830441274558796,1.3842446652893468,0.9002130521190843
85,0.8512553929287765,1.9483978395641242,1.1317708915372722,0.7360319761527767
86,0.695997133317205,1.5930208693761425,0.925342337445684,0.6017904176527235
87,0.56905327619568,1.3024584499650662,0.7565626837194405,0.4920299874864488
88,0.4652610435571394,1.0648909452084172,0.6185662655325443,0.4022870114164335
89,0.38039872345048753,0.8706536917472715,0.50573916901823,0.32891139823520926
90,0.311014233568494,0.7118442558420011,0.4134911022682697,0.268918444205425
91,0.254284882619425,0.5820012162978334,0.33806881226294033,0.21986760032036118
92,0.20790266317447706,0.4758414641920225,0.27640349154179267,0.17976330712080035
93,0.16998043516607922,0.38904537063518546,0.22598598939644676,0.14697388712317822
94,0.13897520032263322,0.3180811078687919,0.18476476569492584,0.12016521126800786
95,0.11362535730502957,0.26006099305013375,0.15106244549800005,0.09824645134682652
96,0.09289939222326056,0.21262402103355732,0.123507585941768,0.08032571841084397
97,0.0759539218819247,0.17383981407631677,0.10097888349089477,0.06567378694065576
98,0.06209938591531761,0.1421300851961914,0.08255955430466855,0.05369443191462425
99,0.050771994044816804,0.11620442278374371,0.06750003337053143,0.043900173896196715
100,0.04151078844323308,0.09500778564780757,0.05518747587067188,0.035892446586292814
101,0.03393888881649178,0.07767757341128757,0.045120820583781335,0.029345380756599534
102,0.0277481576731084,0.06350852629925055,0.036890401151471755,0.023992545313274157
103,0.022686662199680477,0.05192402661686767,0.030161275901759793,0.019616106357853456
104,0.01854842281096028,0.042452634491564556,0.024659598107682573,0.0160379633640556
105,0.015165031394596497,0.03470890330310585,0.020161472196163537,0.01311250194914675
106,0.012398798288367902,0.028377694282090627,0.01648384252618573,0.010720668440283595
107,0.01013714919345882,0.02320135208663915,0.013477044029964759,0.008765125183206738
