,A(H1N1)pdm09_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_0-14,A(H3N2)_15 и ст.,B_0-14,B_15 и ст.
0,3.270756468493378,3.259359069522983,2.2883912639543627,1.6699101105608098,1.6971524180658846,1.5519203730366313
1,5.873508358362564,5.861417067796563,1.8502851910446745,0.8784167165822776,0.9391791326612154,0.5026076779433086
2,9.404532521986308,9.399287036390405,1.4335353129699797,1.0134056709460149,1.092064503830184,0.2949331294814465
3,14.67298845397966,14.660276161632318,1.0654095641780126,1.454743980159822,1.563726709668107,0.19816997317531326
4,22.742467042982312,22.698532046920445,0.7800108908137565,2.212974835343572,2.372567787311831,0.14019105109811936
5,35.19101580506456,35.076682006369765,0.5681384209382324,3.410802949810204,3.6498557153007467,0.10096345738169712
6,54.42037038839091,54.167765206916094,0.41306006482660773,5.2712722394114095,5.631864398026749,0.07314398708117739
7,84.11465790984906,83.60512734800264,0.30006546414986096,8.149367950243542,8.694119250581986,0.053087069564284994
8,129.9224751366603,128.9502412396146,0.21784841130750088,12.595062646408921,13.417796291976897,0.038545701360291944
9,200.46874420174058,198.68106609319875,0.1580441997876701,19.453338979308032,20.69467671921184,0.027982752047248986
10,308.8281397099677,305.627469772826,0.11453788309932939,30.014771911154988,31.884908936877537,0.020303887011196186
11,474.59356529313095,468.97967791106,0.0828765529009192,46.23537257202176,49.04696307704894,0.014719159523963892
12,726.5924693881531,716.9129307931246,0.059821991795143546,71.04504858824009,75.25966150279478,0.010655715020312203
13,1106.0040059074172,1089.5723488934684,0.04302089592252576,108.75193891820489,115.0432973994832,0.0076975289831364225
14,1668.8370047183178,1641.3792493428105,0.030764361425038706,165.5051281559173,174.83987810173872,0.005542387708694295
15,2485.0013402766167,2439.9290513431415,0.021813267004994683,249.6614381731057,263.39063355653576,0.003970838533867267
16,3628.1689048514154,3555.807359665578,0.015271836336732037,371.6525415946178,391.5897803879478,0.00282371653836111
17,5147.098313311985,5034.312349472775,0.010496086898166281,542.5246835000063,570.9553439867735,0.00198587818367039
18,7009.981732736143,6841.191298014966,0.007026855843610124,769.8706125143199,809.3948370729829,0.0013744144708567384
19,9030.482709279839,8791.568619479918,0.004538962015661385,1050.106231977911,1103.1976223788981,0.0009300273380282476
20,10827.285133701247,10513.265539349613,0.002799836185161304,1358.4912804408748,1426.727966327196,0.0006105206315634813
21,11907.96399940936,11532.03412996337,0.0016343820891467258,1643.8083491483121,1726.9685950878347,0.00038560988311415605
22,11907.982098465694,11504.714009001684,0.0008983346130226993,1838.7408241579822,1934.2392419419198,0.00023266256155601912
23,10829.42751117003,10445.48009928969,0.000465516088522264,1888.9401170618544,1992.059738284796,0.00013353078562229484
24,9043.240263662536,8719.266332720314,0.0002291880632526496,1783.0057443616006,1887.898736602681,7.288743180378657e-05
25,7046.928640710774,6803.698593923553,0.00010848064864775849,1557.512910126497,1658.4619127324895,3.798815968174728e-05
26,5217.529281992016,5054.568833005569,4.998632530414991e-05,1273.7217544373193,1366.147306016274,1.9032317115578137e-05
27,3730.0814498016694,3633.434882728736,2.265913027490117e-05,988.0400978946946,1069.0226560757544,9.23791337716782e-06
28,2606.9658081219736,2558.270665042588,1.0179785899295472e-05,736.0863201625552,804.404846282163,4.376665503939051e-06
29,1796.505004071539,1778.9062685107535,4.553143297248921e-06,532.2553308603615,588.0787010526386,2.036893047268993e-06
30,1227.3944963483784,1227.9347965089778,2.0325691495175473e-06,376.67834588572083,421.1027504111618,9.359103104933844e-07
31,834.2005050971992,844.0011959684452,9.06731658745935e-07,262.54876738078707,297.14811690894817,4.261692473980718e-07
32,565.1586749164916,578.6620714667287,4.0443781424388154e-07,181.06273084425868,207.54400301752364,1.928424381188856e-07
33,382.1313544581072,396.1517968369129,1.8040830561821507e-07,123.95056687891883,143.9350556821646,8.688417631288728e-08
34,258.05718519347244,270.9609949459843,8.048567230290394e-08,84.42410151153652,99.33477357885126,3.902895572039015e-08
35,174.13061060439867,185.22908493890094,3.5911749853069295e-08,57.302897890726726,68.32518002305035,1.7496454173862925e-08
36,117.4387598825877,126.57790334862823,1.6025092730551566e-08,38.80229752064943,46.888344503203996,7.832690529767914e-09
37,79.17749983607914,86.47838125188309,7.1515384150444626e-09,26.232356012677823,32.1269516186531,3.5031761004218575e-09
38,53.369797392546985,59.07346155534761,3.1917129589250506e-09,17.714973820884914,21.989274156642026,1.565792611747546e-09
39,35.968722990164984,40.34915499977221,1.424512338644553e-09,11.954186184224753,15.039615722388861,6.995473605016281e-10
40,24.23881796868404,27.55801277771215,6.358009871989824e-10,8.062687621481372,10.28129459470866,3.12443421100935e-10
41,16.33311165928262,18.82097781016325,2.837820263886734e-10,5.436140226619993,7.026074082482974,1.3952059563131796e-10
42,11.005428047454188,12.853563682537965,1.2666439422858787e-10,3.664379488850192,4.800408928720124,6.22939660572111e-11
