,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.
62,0.0,349.0,0.0,0.0,237.0,0.0
63,0.0,400.0,0.0,0.0,264.0,0.0
64,0.0,1363.0,0.0,0.0,910.0,0.0
65,0.0,243.0,0.0,0.0,174.0,0.0
66,0.0,527.0,0.0,0.0,310.0,0.0
67,0.0,282.0,0.0,0.0,160.0,0.0
68,226.0,450.0,226.0,174.0,348.0,174.0
69,564.0,3956.0,156.0,458.0,3208.0,126.0
70,202.0,1203.0,0.0,150.0,896.0,0.0
71,963.0,2115.0,146.0,673.0,1482.0,103.0
72,599.0,4489.0,748.0,382.0,2865.0,477.0
73,391.0,5474.0,378.0,259.0,3638.0,251.0
74,995.0,6259.0,0.0,662.0,4157.0,0.0
75,727.0,5087.0,0.0,504.0,3531.0,0.0
76,987.0,4535.0,0.0,628.0,2890.0,0.0
77,137.0,3577.0,137.0,101.0,2626.0,101.0
78,220.0,5059.0,0.0,176.0,4056.0,0.0
79,285.0,3846.0,0.0,247.0,3341.0,0.0
80,175.0,3507.0,175.0,141.0,2814.0,141.0
81,622.0,4141.0,1242.0,488.0,3251.0,975.0
82,1030.0,14413.0,1030.0,769.0,10767.0,769.0
83,0.0,2105.0,1711.0,0.0,1323.0,1075.0
84,0.0,1398.0,1748.0,0.0,1052.0,1315.0
85,258.0,1424.0,1563.0,205.0,1124.0,1234.0
86,1360.0,680.0,1403.0,1140.0,570.0,1175.0
87,0.0,514.0,256.0,0.0,503.0,252.0
88,0.0,0.0,252.0,0.0,0.0,245.0
89,0.0,212.0,0.0,0.0,190.0,0.0
